,Time,User,Tweet
0,2022-03-20 11:32:55+00:00,Maninder777,"RT @WealthEnrich: #nifty has 50 #stocks but for me these are the best 15 of them all :

1 #HDFC
2 #HDFCBank  
3 #HDFCLife 
4 #Ultratech
5 #…"
1,2022-03-20 11:31:23+00:00,daveakash2,"RT @WealthEnrich: #nifty has 50 #stocks but for me these are the best 15 of them all :

1 #HDFC
2 #HDFCBank  
3 #HDFCLife 
4 #Ultratech
5 #…"
2,2022-03-20 11:25:48+00:00,Kkrish51539375,"RT @WealthEnrich: #nifty has 50 #stocks but for me these are the best 15 of them all :

1 #HDFC
2 #HDFCBank  
3 #HDFCLife 
4 #Ultratech
5 #…"
3,2022-03-20 11:18:01+00:00,pk68688,"RT @WealthEnrich: #nifty has 50 #stocks but for me these are the best 15 of them all :

1 #HDFC
2 #HDFCBank  
3 #HDFCLife 
4 #Ultratech
5 #…"
4,2022-03-20 11:17:21+00:00,drvilaas,"RT @WealthEnrich: #nifty has 50 #stocks but for me these are the best 15 of them all :

1 #HDFC
2 #HDFCBank  
3 #HDFCLife 
4 #Ultratech
5 #…"
5,2022-03-20 11:08:00+00:00,arjunsinspirion,"RT @WealthEnrich: #nifty has 50 #stocks but for me these are the best 15 of them all :

1 #HDFC
2 #HDFCBank  
3 #HDFCLife 
4 #Ultratech
5 #…"
6,2022-03-20 11:03:24+00:00,Sudhan_V_Harry,"RT @WealthEnrich: #nifty has 50 #stocks but for me these are the best 15 of them all :

1 #HDFC
2 #HDFCBank  
3 #HDFCLife 
4 #Ultratech
5 #…"
7,2022-03-20 11:03:10+00:00,benevjohn,"RT @WealthEnrich: #nifty has 50 #stocks but for me these are the best 15 of them all :

1 #HDFC
2 #HDFCBank  
3 #HDFCLife 
4 #Ultratech
5 #…"
8,2022-03-20 11:01:22+00:00,funnybunnyj,"RT @WealthEnrich: #nifty has 50 #stocks but for me these are the best 15 of them all :

1 #HDFC
2 #HDFCBank  
3 #HDFCLife 
4 #Ultratech
5 #…"
9,2022-03-20 10:54:32+00:00,a_kahalekar,"RT @WealthEnrich: #nifty has 50 #stocks but for me these are the best 15 of them all :

1 #HDFC
2 #HDFCBank  
3 #HDFCLife 
4 #Ultratech
5 #…"
10,2022-03-20 10:50:48+00:00,problastician7,"RT @WealthEnrich: #nifty has 50 #stocks but for me these are the best 15 of them all :

1 #HDFC
2 #HDFCBank  
3 #HDFCLife 
4 #Ultratech
5 #…"
11,2022-03-20 10:40:53+00:00,MaheshMandala15,"RT @WealthEnrich: #nifty has 50 #stocks but for me these are the best 15 of them all :

1 #HDFC
2 #HDFCBank  
3 #HDFCLife 
4 #Ultratech
5 #…"
12,2022-03-20 10:40:21+00:00,sayantanb69,"RT @WealthEnrich: #nifty has 50 #stocks but for me these are the best 15 of them all :

1 #HDFC
2 #HDFCBank  
3 #HDFCLife 
4 #Ultratech
5 #…"
13,2022-03-20 10:36:00+00:00,WealthEnrich,"#nifty has 50 #stocks but for me these are the best 15 of them all :

1 #HDFC
2 #HDFCBank  
3 #HDFCLife 
4 #Ultratech
5 #BajajFinance
6 #Bajajfinserve
7 #Pidilite 
8 #Infosys
9 #Asianpaints
10 #ITC
11 #Reliance
12 #HUL
13 #TCS
14 #Nestle
15 #Divis

👉 What would you pick ❓"
14,2022-03-20 10:30:03+00:00,hiya_mee,"@hiya_mee invites our #tech #community to the #HiringEvent on 22 March 2022, for #careeropportunities at @TCS. This invite-only event is hosted by @hiya_mee and sponsored by @TCS. 

To register, click on https://t.co/uwRqPUUXZK or scan the QR code.

#TCS #TCSCareers #tcshiring https://t.co/4ApMvccKhY"
15,2022-03-20 10:29:01+00:00,Yogesh_K_12,"RT @DiscretePriti: @Loud_Speaker_3 #Trent
#TataMotors
#TataSteel
#TataCoffee
#TataConsumer
#Titan
#Tinplate
#Voltas
#TCS
#IndianHotel"
16,2022-03-20 09:38:35+00:00,equityin,"@saketh1998 Risk For #TCS 

US jury slaps $940 million fine on TCS, Tata America International Corp in trade secret case - Economic Times https://t.co/NiOmbzWJ3O"
17,2022-03-20 09:35:20+00:00,equityin,"@CRevanth92 #TCS 

US jury slaps $940 million fine on TCS, Tata America International Corp in trade secret case - Economic Times https://t.co/NiOmbzWJ3O"
18,2022-03-20 09:34:31+00:00,equityin,"@saketh1998 #TCS 

US jury slaps $940 million fine on TCS, Tata America International Corp in trade secret case - Economic Times https://t.co/NiOmbzWJ3O"
19,2022-03-20 08:27:18+00:00,AsianetNewsTL,"ఫ్రెషర్లకు భారీ సంఖ్యలో ఉద్యోగాలు..!
#TCS #TCSJOBS #DigitalHiring
https://t.co/GZlaIObcVM"
20,2022-03-20 07:58:36+00:00,bhatikapilbhat1,"RT @ViruPandey81: #stocks looking good for next week,
#TCS #LTI #LT https://t.co/Rco2qacS3W"
